1 - Interventions on Body Systems and Functions	01 - Interventions on the Nervous System and Mental Functions	AA - Brain and Cranial Nerves	AAA.AD.AA	Biopsy of brain		Biopsy of choroid plexus; Open biopsy of brain; Open biopsy of brain via osteoplastic craniotomy; Intracranial biopsy NOS; Biopsy of brain via burr hole approach; 	osteoplastic flap if performed		
1 - Interventions on Body Systems and Functions	01 - Interventions on the Nervous System and Mental Functions	AA - Brain and Cranial Nerves	AAA.AD.AE	Percutaneous biopsy of brain		Biopsy of brain via neuroendoscopy; Closed biopsy of brain; Needle biopsy of brain; Trephine biopsy of brain; Biopsy of brain via stereotactic localisation; 			closed biopsy of ventricles of brain (AAE AD AB)
1 - Interventions on Body Systems and Functions	01 - Interventions on the Nervous System and Mental Functions	AA - Brain and Cranial Nerves	AAA.AF.AH	"Electroencephalography, not elsewhere classified"		EEG; EEG response to challenges; Electrocorticography; Electroencephalogram; Intermittent light stimulation; Mapping of brain; Cortical mapping of brain; EEG response to pharmacological challenge; EEG response to prolonged hyperventilation; Electroencephalography NOS; 			video and radio-telemetered electroencephalographic monitoring (AAA AI BL); electroencephalography monitoring (AAA AI AH)
1 - Interventions on Body Systems and Functions	01 - Interventions on the Nervous System and Mental Functions	AA - Brain and Cranial Nerves	AAA.AF.BO	Magnetoelectroencephalography		MEG; MEG monitoring; 			video and radio-telemetered electroencephalographic monitoring (AAA AI BL); electroencephalography monitoring (AAA AI AH); magnetic resonance imaging of brain (AAA BA BH)
1 - Interventions on Body Systems and Functions	01 - Interventions on the Nervous System and Mental Functions	AA - Brain and Cranial Nerves	AAA.AI.AA	Electroencephalography monitoring via burr holes		EEG via open approach; Electroencephalography monitoring via open approach; 			
1 - Interventions on Body Systems and Functions	01 - Interventions on the Nervous System and Mental Functions	AA - Brain and Cranial Nerves	AAA.AI.AE	Percutaneous monitoring of the brain		Brain temperature monitoring; Intracranial oxygen monitoring; Intracranial pressure monitoring; 	insertion of catheter or probe for monitoring		
1 - Interventions on Body Systems and Functions	01 - Interventions on the Nervous System and Mental Functions	AA - Brain and Cranial Nerves	AAA.AI.AH	Electroencephalography monitoring		EEG; EEG Holter monitoring; EEG monitoring; 			that via burr holes (AAA.AI.AA)
1 - Interventions on Body Systems and Functions	01 - Interventions on the Nervous System and Mental Functions	AA - Brain and Cranial Nerves	AAA.AI.BL	Video or radio-telemetered electroencephalography monitoring		Video EEG monitoring; 			
1 - Interventions on Body Systems and Functions	01 - Interventions on the Nervous System and Mental Functions	AA - Brain and Cranial Nerves	AAA.BA.BA	Encephalography		Pneumoencephalogram; 			
1 - Interventions on Body Systems and Functions	01 - Interventions on the Nervous System and Mental Functions	AA - Brain and Cranial Nerves	AAA.BA.BB	Other contrast radiogram of brain		Pneumoventriculogram; Posterior fossa myelogram; 			
1 - Interventions on Body Systems and Functions	01 - Interventions on the Nervous System and Mental Functions	AA - Brain and Cranial Nerves	AAA.BA.BC	"Computerised tomography of brain, not elsewhere classified"		"Cerebral scan, NOS; CT brain NOS; "			
1 - Interventions on Body Systems and Functions	01 - Interventions on the Nervous System and Mental Functions	AA - Brain and Cranial Nerves	AAA.BA.BD	Computerised tomography of brain with intravenous contrast medium		Cerebral scan with IV contrast; CT brain with IV contrast; 			
1 - Interventions on Body Systems and Functions	01 - Interventions on the Nervous System and Mental Functions	AA - Brain and Cranial Nerves	AAA.BA.BF	Single photon emission computerised tomography of brain		Cerebral SPECT; SPECT of brain; 			
1 - Interventions on Body Systems and Functions	01 - Interventions on the Nervous System and Mental Functions	AA - Brain and Cranial Nerves	AAA.BA.BG	Positron emission tomography of brain		PET scan of brain; 			
1 - Interventions on Body Systems and Functions	01 - Interventions on the Nervous System and Mental Functions	AA - Brain and Cranial Nerves	AAA.BA.BH	"Magnetic resonance imaging of brain, not elsewhere classified"		"Intraoperative magnetic resonance imaging brain NOS; MRI brain, NOS; "			laser interstitial thermal therapy [LITT] of lesion or tissue of brain under guidance (AAA GA AE)
